modelo,params (M),GFLOPs,min. entren.,epoca best,Accuracy,Acc. IC95%,Macro-F1,QWK,QWK IC95%,MAE,Acc. ±1
ResNet-50,23.518,8.174,9.88,11,0.7458,"[0.716, 0.773]",0.735,0.9356,"[0.926, 0.944]",0.2617,0.9925
ViT-S/16,21.668,8.482,4.97,4,0.7224,"[0.694, 0.747]",0.7109,0.9313,"[0.922, 0.939]",0.2825,0.9951
ResNet-50 (scratch),23.518,8.174,17.64,23,0.6715,"[0.641, 0.700]",0.6546,0.9152,"[0.901, 0.928]",0.3519,0.9766
ViT-S/16 (scratch),21.668,8.482,6.02,5,0.6123,"[0.575, 0.648]",0.5787,0.8891,"[0.860, 0.909]",0.4094,0.981
Fusion tardia,46.427,16.658,3.52,2,0.7675,"[0.738, 0.794]",0.7595,0.941,"[0.931, 0.950]",0.2378,0.9947
ViT-Hybrid R26,36.049,6.881,14.91,10,0.7617,"[0.733, 0.790]",0.7519,0.9411,"[0.932, 0.949]",0.2418,0.9965
